group_col,group,n,acc,acc_lo,acc_hi,macro_f1,acc_gap_vs_min,acc_gap_vs_max
race,Black,132,1.0,0.9717200032979587,1.0,0.3333333333333333,0.0,0.0
race,East Asian,153,1.0,0.9755064982759676,1.0,0.3333333333333333,0.0,0.0
race,Indian,152,1.0,0.9753493290623299,1.0,0.3333333333333333,0.0,0.0
race,Latino_Hispanic,140,1.0,0.9732928443510084,1.0,0.3333333333333333,0.0,0.0
race,Middle Eastern,146,1.0,0.9743622598797664,1.0,0.3333333333333333,0.0,0.0
race,Southeast Asian,132,1.0,0.9717200032979587,1.0,0.3333333333333333,0.0,0.0
race,White,144,1.0,0.974015432733412,0.9999999999999999,0.3333333333333333,0.0,0.0
